KCD코드,산정특례코드,항목분류,질환명(한글),질환명(영문),검사기준(신규등록기준),검사항목(신규등록기준),필수검사조합(신규등록기준),검사기준(재등록기준),검사항목(재등록기준),필수검사조합(재등록기준)
,V900,코드 없음,촙스 증후군,CHOPS syndrome,"o 유전학검사: 병적 또는 병적유사 변이 (pathogenic or likely pathogenic)로 명기된 AFF4 유전자 변이가 확인된 경우

o 임상진단
 - 주 증상 : 발달 지연, 지적 장애, 심혈관계 장애
 - 부 증상 : 안면기형, 비만, 저신장
 - 기타 : 근골격계 기형

o 기타: (신경학적장애+수술필요) 또는 (신경학적장애+신체적장애)
 1) 신경학적장애+수술필요 
 - 신경학적장애: 지적장애, 자폐성장애, 뇌병변장애 중 심한장애, 장애의 원인 질환이 해당 질환인 경우
 - 수술필요: 해당 질환을 원인으로 한 수술이 필요한 경우, 
   수술필요시 임상진단에 필수 기재 
 2) 신경학적장애+신체적장애
 - 신경학적장애: 지적장애, 자폐성장애, 뇌병변장애 중 심한장애, 장애의 원인 질환이 해당 질환인 경우 
 - 신체적장애: 지체장애 중 심한장애
 * 공단 신청일 기준, 만 3세 미만의 경우 장애정도 불필요 (장애정도 무관하게 6번 항목 체크하여 신청)","유전학검사, 임상진단, (신경학적장애+수술필요) 또는 (신경학적장애+신체적장애)","(유전학검사, 임상진단, (신경학적장애+수술필요) 또는 (신경학적장애+신체적장애))"," 5번 검사항목 최초등록과 동일 

o 기타: (신경학적장애+수술필요) 또는 (신경학적장애+신체적장애)
 1) 신경학적장애+수술필요 
 - 신경학적장애: 지적장애, 자폐성장애, 뇌병변장애 중 심한장애, 장애의 원인 질환이 해당 질환인 경우
 - 수술필요: 해당 질환을 원인으로 한 수술이 필요한 경우, 
   수술필요시 임상진단에 필수 기재 
 2) 신경학적장애+신체적장애
 - 신경학적장애: 지적장애, 자폐성장애, 뇌병변장애 중 심한장애, 장애의 원인 질환이 해당 질환인 경우 
 - 신체적장애: 지체장애 중 심한장애","유전학검사, 임상진단, (신경학적장애+수술필요) 또는 (신경학적장애+신체적장애)","(유전학검사, 임상진단, (신경학적장애+수술필요) 또는 (신경학적장애+신체적장애))"
,V900,코드 없음,특발성 비특이성 간질성 폐렴,Idiopathic nonspecific interstitial pneumonia,"o 영상검사
 1) 검사: 흉부 고해상도 컴퓨터 단층촬영 (Chest HRCT)
 2) 검사결과
 -  주로 폐의 하부 및 흉막 하에 분포하는 간유리음영, 망상음영, 견인성 기관지확장증 등의 간질성 폐질환을 시사하는 소견

o 조직학검사
 1) 검사: 폐생검
 2) 검사결과
 - 비특이성 간질성폐렴 (NSIP)에 합당한 pattern(비교적 균일한 형태의 폐 간질의 염증과 섬유화)

o 임상진단
 - 다른 원인에 대한 감별 및 배제 (자가면역질환, 과민성 폐렴 등을 유발하는 항원 노출, 약제, 환경성 요인, 가습기살균제 폐질환 등) 
 - 기침 또는 호흡곤란 등의 호흡기 증상 동반","영상검사, 조직학검사, 임상진단","(영상검사, 조직학검사, 임상진단)","1, 5번 검사항목 최초등록과 동일","영상검사, 임상진단","(영상검사, 임상진단)"
,V900,코드 없음,피어슨 증후군[Pierson syndrome],Pierson syndrome,"o 특수생화학/면역학,도말/배양검사: (다음 중 1개 해당할 경우)
1) [심한 단백뇨(Urine protein 40mg/m2/시간(960mg/m2/일) or Urine protein/Creatinine≧2.０) +혈청 알부민 3.0g/dL] 
2) [신부전]

o 유전학검사
LAMB2 mutation 

o 임상진단(다음 중 2가지 모두 해당할 경우) 
1) 신장관련 질환(Urine protein/ Creatinine＞2.０ or 신부전) and 안구증상
2) 생후 1세 이전에 발병","특수생화학/면역학·도말/배양검사, 유전학검사, 임상진단","(특수생화학/면역학·도말/배양검사, 유전학검사, 임상진단)","2번 검사항목 최초등록과 동일

o 임상진단
신장관련 질환(Urine protein/ Creatinine＞2.０ or 신부전) and 안구증상","특수생화학/면역학·도말/배양검사, 임상진단","(특수생화학/면역학·도말/배양검사, 임상진단)"
,V900,코드 없음,HNRNPU-관련 장애,HNRNPU-related disorder,"o 유전학검사: HNRNPU 유전자의 병적 또는 병적유사 돌연변이 확인

o 임상진단
1) 신경학적 증상: 발달지연, 지적장애, 경련, 근긴장 저하 등
2) 특징적인 얼굴 모습
3) 기타: 호흡이상, 사시, 근골격계이상, 신장 기형 등

o 기타: (신경학적장애+수술필요) 또는 (신경학적장애+신체적장애)
 1) 신경학적장애+수술필요 
 - 신경학적장애: 지적장애, 자폐성장애, 뇌병변장애 중 심한장애, 장애의 원인 질환이 해당 질환인 경우
 - 수술필요: 해당 질환을 원인으로 한 수술이 필요한 경우, 수술필요시 임상진단에 필수 기재 
 2) 신경학적장애+신체적장애
 - 신경학적장애: 지적장애, 자폐성장애, 뇌병변장애 중 심한장애, 장애의 원인 질환이 해당 질환인 경우 
 - 신체적장애: 지체장애 중 심한장애
 * 공단 신청일 기준, 만 3세 미만의 경우 장애정도 불필요 (장애정도 무관하게 6번 항목 체크하여 신청)
","유전학검사, 임상진단, (신경학적장애+수술필요) 또는 (신경학적장애+신체적장애)","(유전학검사, 임상진단, (신경학적장애+수술필요) 또는 (신경학적장애+신체적장애))","5번 검사항목 최초등록과 동일

o 기타: (신경학적장애+수술필요) 또는 (신경학적장애+신체적장애)
 1) 신경학적장애+수술필요 
 - 신경학적장애: 지적장애, 자폐성장애, 뇌병변장애 중 심한장애, 장애의 원인 질환이 해당 질환인 경우
 - 수술필요: 해당 질환을 원인으로 한 수술이 필요한 경우, 수술필요시 임상진단에 필수 기재 
 2) 신경학적장애+신체적장애
 - 신경학적장애: 지적장애, 자폐성장애, 뇌병변장애 중 심한장애, 장애의 원인 질환이 해당 질환인 경우 
 - 신체적장애: 지체장애 중 심한장애","임상진단, (신경학적장애+수술필요) 또는 (신경학적장애+신체적장애)","(임상진단, (신경학적장애+수술필요) 또는 (신경학적장애+신체적장애))"
,V900,코드 없음,KMT2B-관련 근긴장이상,KMT2B-related dystonia,"o 유전학검사: 병적 또는 병적유사 변이 (pathogenic or likely pathogenic)로 명기된 KMT2B 유전자 변이가 확인된 경우

o 임상진단
 · 주 증상 : 근육긴장이상증, 발달지연
 · 부 증상 : 저신장, 소두증
 · 기타 : 난시

o 기타: 수술필요 또는 장애정도 또는 약물치료필요
 - 장애정도: 지적장애 중 심한장애
 - 약물치료필요: 2가지 이상의 약제가 필요한 정도의 중증의 근긴장 이상
 - 해당 질환을 원인으로 한 수술이 필요한 경우 또는 장애의 원인 질환이 해당 질환인 경우에 한함, 수술필요시 임상진단에 필수 기재 
* 공단 신청일 기준, 만 3세 미만의 경우 장애정도 불필요 (장애정도 무관하게 6번 항목 체크하여 신청)","유전학검사, 임상진단, 수술필요 또는 장애정도 또는 약물치료필요","(유전학검사, 임상진단, 수술필요 또는 장애정도 또는 약물치료필요)","5번 검사항목 최초등록과 동일 

o 기타: 수술필요 또는 장애정도 또는 약물치료필요
 - 장애정도: 지적장애 중 심한장애
 - 약물치료필요: 2가지 이상의 약제가 필요한 정도의 중증의 근긴장 이상
 - 해당 질환을 원인으로 한 수술이 필요한 경우 또는 장애의 원인 질환이 해당 질환인 경우에 한함, 수술필요시 임상진단에 필수 기재","임상진단, 수술필요 또는 장애정도 또는 약물치료필요","(임상진단, 수술필요 또는 장애정도 또는 약물치료필요)"
,V901,코드 없음,9번 염색체 장완의 결손 증후군,9q deletion syndrome,,,,,,
,V901,코드 없음,11번 염색체 장완의 말단부 삼염색체증,Distal trisomy 11q,,,,,,
,V901,코드 없음,3번 염색체 단완의 결손,Deletion of short arm of chromosome 3,,,,,,
,V901,코드 없음,2번 염색체 장완 33-37 부분의 중복 증후군,2q33-37 duplication syndrome,,,,,,
,V901,코드 없음,20번 염색체 장완의 말단부 삼염색체증,Distal trisomy 20q,,,,,,
,V901,코드 없음,13번 염색체 장완의 말단부 단일염색체증,Distal monosomy 13q,,,,,,
,V901,코드 없음,16번 염색체 장완의 중복,16q duplication,,,,,,
,V901,코드 없음,18번 염색체 장완의 결손 증후군,18q deletion syndrome,,,,,,
,V901,코드 없음,17단완13.3 미세중복,17p 13.3 microduplication,,,,,,
,V901,코드 없음,8단완단일염색체증,8p monosomy,,,,,,
,V901,코드 없음,4번 염색체 장완의 34 부분의 미세결손,4q34 microdeletion,,,,,,
,V901,코드 없음,12번 염색체 단완의 중복 증후군,12p duplication syndrome,,,,,,
,V901,코드 없음,6번 염색체 장완의 결손 증후군,6q deletion syndrome,,,,,,
,V901,코드 없음,9번 염색체 단완의 결손,Deletion of short arm of chromosome 9,,,,,,
,V901,코드 없음,7장완11.22 미세결손 증후군,7q 11.22 microdeletion syndrome,,,,,,
,V901,코드 없음,19번 염색체 단완 13.3 부분의 중복,19p13.3 duplication,,,,,,
,V901,코드 없음,3번 염색체 장완의 결손,Deletion of long arm of chromosome 3,,,,,,
,V901,코드 없음,15번 염색체 장완의 결손 증후군,15q deletion syndrome,,,,,,
,V901,코드 없음,7장완36 미세중복,7q 36 microduplication,,,,,,
,V901,코드 없음,5번 염색체 장완 35 부분의 결손,5q35 deletion,,,,,,
,V901,코드 없음,2번 염색체 단완의 결손 증후군,2p deletion syndrome,,,,,,
,V901,코드 없음,13번 염색체 장완의 부분 결손,Partial deletion of the long arm of chromosome 13,,,,,,
,V901,코드 없음,18번 염색체 장완의 중복 증후군,18q duplication syndrome,,,,,,
,V901,코드 없음,18번 염색체 단완의 사염색체증,Tetrasomy 18p,,,,,,
,V901,코드 없음,9번 염색체 단완의 중복,Duplication of 9p,,,,,,
,V901,코드 없음,7번 염색체 장완 36 부분의 미세결손 증후군,7q36 microdeletion syndrome,,,,,,
,V901,코드 없음,1번 염색체 장완 44부분의 미세결손 증후군,1q44 microdeletion syndrome,,,,,,
,V901,코드 없음,8번 염색체 단완의 11.2 부분의 미세결손 증후군,8p11.2 deletion syndrome,,,,,,
,V901,코드 없음,14번 염색체 장완 24.2-31.1 부분의 미세결손,14q24.2q31.1 microdeletion,,,,,,
,V901,코드 없음,9번 염색체 단완의 사염색체증,tetrasomy 9p,,,,,,
,V901,코드 없음,12번 염색체 단완 13 부분의 미세중복,12p13 microduplication,,,,,,
,V901,코드 없음,1번 염색체 단완 31-32 부분의 미세결손,1p31-1p32 microdeletion,,,,,,
,V901,코드 없음,12번 염색체 장완 13 부분의 미세중복,12q13 microduplication,,,,,,
,V901,코드 없음,8번 염색체 단완의 역중복-결실 증후군,8p inverted duplication-deletion syndrome,,,,,,
,V901,코드 없음,1번 염색체 장완 21.1 부분의 중복 증후군,1q21.1 duplication syndrome,,,,,,
,V901,코드 없음,재조합 8번 염색체 증후군,Recombinant chromosome 8 syndrome,,,,,,
,V901,코드 없음,8번 염색체 장완의 22.1 부분의 미세 결손 증후군,8q22.1 microdeletion syndrome,,,,,,
,V901,코드 없음,2번 염색체 장완의 24 부분의 미세결손 증후군,2q24 microdeletion syndrome,,,,,,
,V901,코드 없음,22번 염색체 장완의 결손 증후군,22q deletion syndrome,,,,,,
,V901,코드 없음,10번 염색체 장완의 결손 증후군,10q deletion syndrome,,,,,,
,V901,코드 없음,13번 염색체 장완 12.3 부분의 미세결손 증후군,13q12.3 microdeletion syndrome,,,,,,
,V901,코드 없음,6번 염색체 장완 26 부분의 미세결손 증후군,6q26 microdeletion syndrome,,,,,,
,V901,코드 없음,16번 염색체 단완의 11-12 부분의 미세결손 증후군,16p11p12 microdeletion syndrome,,,,,,
,V901,코드 없음,2번 염색체 장완의 31-33 부분의 미세결손,2q31-q33 microdeletion,,,,,,
,V901,코드 없음,16번 염색체 단완의 결손,Deletion of short arm of chromosome 16,,,,,,
,V901,코드 없음,1번 염색체 단완의 중복 증후군,1p duplication syndrome,,,,,,
,V901,코드 없음,15번 고리모양 염색체,Ring chromosome 15,,,,,,
,V901,코드 없음,17번 염색체 장완 25.1 부분의 중복 증후군,17q25.1 duplication syndrome,,,,,,
,V901,코드 없음,22번 염색체 장완의 중복 증후군,22q duplication syndrome,,,,,,
,V901,코드 없음,1번 염색체 장완 21.3 부분의 미세결손 증후군,1q21.3 microdeletion syndrome,,,,,,
,V901,코드 없음,5번 염색체 장완 14.3 부분의 미세결손 증후군,5q14.3 microdeletion syndrome,,,,,,
,V901,코드 없음,8번 염색체 장완의 21.11 부분의 미세결손 증후군,8q21.11 microdeletion syndrome,,,,,,
,V901,코드 없음,3번 염색체 장완의 13.31 부분의 미세 결손 증후군,3q13.31 microdeletion syndrome,,,,,,
,V901,코드 없음,8번 염색체 장완의 중복 증후군,8q duplication syndrome,,,,,,
,V901,코드 없음,3번 염색체 장완의 결손 증후군,3q deletion syndrome,,,,,,
,V901,코드 없음,4번 염색체 장완의 결손 증후군,4q deletion syndrome,,,,,,
,V901,코드 없음,17번 염색체 장완 21.31 부분의 미세중복 증후군,17q21.31 microduplication syndrome,,,,,,
,V900,코드 없음,드뷔쿠아 형성이상,Desbuquois dysplasia,"영상 및 임상진단을 바탕으로 한 유전자 검사로 확진

영상 검사: 중수골의 단축, 근위 및 중지골의 연장, 수부 골 연령의 조숙, 두 번째 중수골의 부 골화 중심이나 엄지손가락의 선천성 변형, 척추후측만증

임상 검사: 다발성 대관절탈구, 저신장, 납작코 안구돌출, 척추후측만증, 손가락의 요측 편위","영상검사, 유전학검사, 임상진단","(영상검사, 유전학검사) 또는 (유전학검사, 임상진단)",영상 및 임상진단으로 재등록 가능,"영상검사, 임상진단","(영상검사, 임상진단)"
,V900,코드 없음,루스칸-루미쉬 증후군,Luscan-lumish syndrome,"임상진단) 대두증, 특징적인 얼굴 (이마 돌출, 긴 얼굴, 처진 눈), 크고 긴 손과 발, 관절의 과신전, 발달 지연, 인지기능장애, 경련, 저신장, 비만

유전학적 검사) SETD2 유전자 돌연변이 확인

* 장애정도진단 (신체적 장애 또는 정신적 장애(지적 장애 또는 자폐성 장애)가 ""심한 장애""인 경우)
 – 장애의 원인 질환이 해당 질환인 경우에 한함
 – 공단 신청일 기준, 만 3세 미만의 경우 장애정도 불필요(장애정도 무관하게 항목 체크하여 신청)","유전학검사, 임상진단, 장애정도","(유전학검사, 임상진단, 장애정도)","최초등록과 동일하며, 5년 이후 재등록필요하다 사료될 경우 의료진의 임상소견만으로 등록

* 장애정도진단 (신체적 장애 또는 정신적 장애(지적 장애 또는 자폐성 장애)가 ""심한 장애""인 경우)
 – 장애의 원인 질환이 해당 질환인 경우에 한함","임상진단, 장애정도","(임상진단, 장애정도)"
,V900,코드 없음,마이어 로키탄스키 쿠스터 하우저 증후군,Mayer-Rokitansky-Kuster Hauser (MRKH) syndrome,"·임상증상: MRKH 증후군 제 1 형 및 제 2 형 환자는 자궁 및 질의 상부 2/3가 없음. 난소는 정상적으로 기능하므로 이차 성징 및 외부 생식기의 발달은 정상적이다. MRKH 2 형에서는 자궁 및 질의 상부 2/3가 없는 증상 이외에도 신장 이상(40%), 골격 이상(20-25 %), 청각 장애(10 %), 심장 기형이 동반 가능하다.

·영상의학검사: 초음파, CT, MRI

* 수술이 필요한 경우로 제한","영상검사, 임상진단, 수술필요","(영상검사, 임상진단, 수술필요)","최초등록과 동일하며, 5년 이후 재등록 필요하다 사료될 경우 의료진의 임상소견만으로 등록 가능

* 수술이 필요한 경우로 제한","임상진단, 수술필요","(임상진단, 수술필요)"
,V900,코드 없음,모자이크성 다양한 이수성 증후군1,Mosaic variegated neuploidy syndrome 1,"임상진단) 성장지연, 소아암, 발달 지연, 지적 장애, 뇌전증, 뇌기형, 안과 질환 중 두 개 이상의 임상 증상을 나타냄

유전학적 검사) BUB1B 유전자의 돌연변이","유전학검사, 임상진단","(유전학검사, 임상진단)","최초등록과 동일하며, 5년이후 재등록필요하다 사료될 경우 의료진의 임상소견만으로 등록",임상진단,(임상진단)
,V900,코드 없음,보링-오피츠 증후군,Bohring-Opitz syndrome,"임상진단) 자궁 내 성장지연, 출생 후 성장지연, 발달 지연, 경련, 인지기능장애, 특징적인 얼굴 (양안 격리, 높은 입천장, 낮은 코, 낮은 귀, 작은 턱, 이마의 붉은 반점) 다모증, 다발성 관절 구축, 잦은 호흡기계 감염 및 무호흡

유전학적 검사) ASXL1 돌연변이 확인","유전학검사, 임상진단","(유전학검사, 임상진단)","최초 등록과 동일하며, 5년 이후 재등록이 필요하다 사료될 경우 의료진의 임상소견만으로 등록",임상진단,(임상진단)
,V900,코드 없음,보쉬-분스트라-샤프 시신경위축 증후군,Bosch-Boonstra-Schaaf optic atrophy syndrome,"유전자 검사: NR2F1 유전자의 변이 확인. 안저검사, 안저사진, 빛간섭단층촬영으로 양안의 시신경 위축을 확인. 발달지연과 지능장애에 대한 임상적 상태를 확인.

* 장애정도진단 (신체적 장애 또는 정신적 장애(지적 장애 또는 자폐성 장애)가 ""심한 장애""인 경우)
 – 장애의 원인 질환이 해당 질환인 경우에 한함
 – 공단 신청일 기준, 만 3세 미만의 경우 장애정도 불필요(장애정도 무관하게 항목 체크하여 신청)

* 안과검사(단안 시력 0.1 이하 또는 양안 시력 각각 0.2이하","유전학검사, 임상진단, 안과검사 또는 장애정도","(유전학검사, 임상진단, 안과검사 또는 장애정도)","최초등록과 동일하며, 5년이후 재등록필요하다 사료될 경우 의료진의 임상소견만으로 등록

* 장애정도진단 (신체적 장애 또는 정신적 장애(지적 장애 또는 자폐성 장애)가 ""심한 장애""인 경우)
 – 장애의 원인 질환이 해당 질환인 경우에 한함

* 안과검사(단안 시력 0.1 이하 또는 양안 시력 각각 0.2이하","임상진단, 안과검사 또는 장애정도","(임상진단, 안과검사 또는 장애정도)"
,V900,코드 없음,블라우 증후군,Blau syndrome,"o 임상 증상: 육아종성 관절염, 포도막염 및 피부 발진, 가족력  
o 안과검사: 포도막염, 안압상승, 홍채 결절, 국소 유착, 백내장, 안압 상승 및 특징적인 각질 침전물 등. (조기 발견시에는 정상일 수 있음)
o 조직검사: 피부, 활액 또는 결막 생검에서 상피 세포 및 다핵 거대 세포에 의한 noncaseating granulomatous inflammation 소견 
o  유전학검사에서  NOD2 유전자의 돌연변이 또는 결실 확인","유전학검사, 조직학검사, 임상진단, 안과검사","(유전학검사, 임상진단, 안과검사) 또는 (유전학검사, 조직학검사, 임상진단)","최초등록과 동일하며, 5년이후 재등록필요하다 사료될 경우 의료진의 임상소견 및 혈액학적 검사 소견으로 등록",임상진단,(임상진단)
,V900,코드 없음,샤프-양 증후군,Schaaf-Yang syndrome,"임상진단) 심한 관절 구축, 근긴장저하, 수면무호흡, 영아기 수유 장애, 발달 지연, 인지기능장애

유전학적 검사) MAGEL2 유전자 돌연변이 확인","유전학검사, 임상진단","(유전학검사, 임상진단)","최초등록과 동일하며, 5년 이후 재등록필요하다 사료될 경우 의료진의 임상소견만으로 등록",임상진단,(임상진단)
,V900,코드 없음,선천성 뇌하수체 기능저하,Congenital hypopituitarism,"1. 병력청취를 통한 뇌의 감염성 질환, 약물, 방사선조사 등 외인성 질환/뇌 종양 등 2차요인 배제된 경우. 
2. 특징적 임상  증상(저혈당, 미소음경, 잠복고환, 청색증, 저신장, 성선기능감소 등) 이 있는 경우. 
3. 혈액 검사를 통한 호르몬 검사 (뇌하수체 복합 자극 시험 검사)를 시행하여 최소 2가지 이상의 뇌하수체호르몬결핍이 동반된 경우. 
4. 분자유전학적 검사상 LHX3, LHX4, HESX1, POU1F1, PROP1, PTX2, SOX3 등의 유전자 돌연변이가 확인된 경우","영상검사, 특수생화학/면역학·도말/배양검사, 유전학검사, 임상진단","(영상검사, 특수생화학/면역학·도말/배양검사, 임상진단) 또는 (영상검사, 특수생화학/면역학·도말/배양검사, 유전학검사, 임상진단)","최초 등록과 동일하며, 5년 이후 재등록이 필요하다고 사료될 경우 특수생화학/면역학, 도말/배양 검사와 의료진의 임상소견만으로 등록","특수생화학/면역학·도말/배양검사, 임상진단","(특수생화학/면역학·도말/배양검사, 임상진단)"
,V900,코드 없음,선천성 반척추,Congenital hemivertebra," 다른 증후군과 연관되어 나타난 선천성 반척추증 혹은, 반척추증이 단독으로 있는 경우 수술적 치료를 요하는 경우 

* 수술필요","영상검사, 임상진단, 수술필요","(영상검사, 임상진단, 수술필요)","다른 증후군과 연관되어 나타난 선천성 반척추증 혹은, 반척추증이 단독으로 있는 경우 수술적 치료를 요하는 경우 

* 수술필요","영상검사, 임상진단, 수술필요","(영상검사, 임상진단, 수술필요)"
,V900,코드 없음,쉬프린첸-골드베르그 증후군,Shprintzen-Goldberg syndrome,"·아래의 소견을 바탕으로 임상적으로 의심함
1.두개골 조기 유합증
2.넓고 튀어나온 이마, 튀어나온 눈, 양안 격리, 쳐진 눈, 상악 저형성, 낮은 귀, 작은 턱
3.골격계 이상 (긴 사지, 긴 손가락, 긴 발가락, 흉곽이상, 측만증, 관절 과신전 혹은 구축증, 경추 이상, 13개 쌍의 늑골)
4.심장 이상 (판막 이상, 대동맥 확장증 등)
5.뇌 기형 (키아리 기형, 수두증)
6.발달 지연/인지 장애 

·SKI 유전자의 돌연변이
* 수술필요 또는 장애정도진단 (신체적 장애 또는 정신적 장애가 ""심한 장애""인 경우)
 – 해당 질환을 원인으로 한 수술이 필요한 경우 또는 장애의 원인 질환이 해당 질환인 경우에 한함
 – 공단 신청일 기준, 만 3세 미만의 경우 장애정도 불필요(장애정도 무관하게 항목 체크하여 신청)","영상검사, 유전학검사, 임상진단, 장애정도 또는 수술필요","(영상검사, 유전학검사, 임상진단, 장애정도 또는 수술필요)","최초등록과 동일하며, 5년 이후 재등록필요하다 사료될 경우 의료진의 임상소견만으로 등록

* 수술필요 또는 장애정도진단 (신체적 장애 또는 정신적 장애)가 ""심한 장애""인 경우)
 – 해당 질환을 원인으로 한 수술이 필요한 경우 또는 장애의 원인 질환이 해당 질환인 경우에 한함","임상진단, 장애정도 또는 수술필요","(임상진단, 장애정도 또는 수술필요)"
,V900,코드 없음,스미스-킹스모어 증후군,Smith-Kingsmore syndrome,"특징적인 외모 (대두증 (macrophaly) , 삼각형 얼굴(triangular face), 앞으로 튀어나온 두드러진 이마(frontal bossing), 뾰족한 턱(pointed chin), 양안 격리증 (hypertelorism), 안검열의 외하방 경사(downslanting palpebral fissures), 평평한 콧등(flat nasal bridge), 긴 인중(long philtrum))
신경발달 및 행동 이상 (지적장애, 발달지연, 언어지연, 주의력결핍 과잉행동 장애, 자폐스펙트럼 장애, 뇌전증)
스미스 킹스모어 증후군에 관련된 특징적인 임상 양상을 보이며 염색체 1p36 부위의 MTOR 유전자의 돌연변이가 확인된 경우","유전학검사, 임상진단","(유전학검사, 임상진단)","최초 등록과 동일하며, 5년 이후 재등록이 필요하다 사료될 경우 의료진의 임상소견만으로 등록",임상진단,(임상진단)
,V900,코드 없음,중추신경계통의 원발성 혈관염,Primary angiitis of central nervous system (PACNS),"- 뇌혈관조영술 PSCNS에 합당
- 뇌조직검사: 혈관염의 병리 소견이 확인
- 임상진단: PACNS에 합당
- 뇌척수액 검사: 백혈구 또는 단백질 증가","영상검사, 조직학검사, 임상진단, 뇌척수액검사","(조직학검사, 임상진단) 또는 (영상검사, 임상진단, 뇌척수액검사)","최초 등록과 동일하며, 5년 이후 재등록이 필요하다 사료될 경우 의료진의 임상소견만으로 등록","임상진단, 신경과전문의 확진","(임상진단, 신경과전문의 확진)"
